"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","Members Validation","1","0","Verify Delete Star for Board","0"
"1","API Tests","0","Board Validation","18","0","Bord","0"
"0","API Tests","0","Cards Validation","5","0","Verify attachments on a cards","0"
"0","API Tests","0","Lists Validation","12","0","lists","0"
"0","API Tests","0","Members Validation","1","0","Verify Create Star for Board","0"
"0","API Tests","0","Actions Validation","13","0","Actions","0"
"0","API Tests","0","Labels Validation","1","0","Verify get label","0"
"0","API Tests","0","Members Validation","1","0","Verify Update the position of a boardStar of Member","0"
"0","API Tests","0","Members Validation","1","0","Verify member","0"
"0","API Tests","0","Cards Validation","1","0","Verify actions on a cards","0"
"0","","0","","11","0","Checklists","0"
"0","API Tests","0","Labels Validation","2","0","Verify update field label","0"
"0","UI Tests","0","Board Validation","1","0","Bord","0"
"0","API Tests","0","Members Validation","1","0","Verify actions member","0"
"0","API Tests","0","Cards Validation","3","0","Verify cards","0"
"2","UI Tests","0","Board Validation","0","0","Board","0"
"0","API Tests","0","Members Validation","1","0","Verify Get a boardStar of Member","0"
"0","API Tests","0","Labels Validation","1","0","Verify update label","0"
"0","API Tests","0","Labels Validation","1","0","Verify delete label","0"
"0","API Tests","0","Members Validation","1","0","Verify update member","0"
"0","API Tests","0","Members Validation","1","0","Verify member custom backgrounds","0"
"0","API Tests","0","Labels Validation","1","0","Verify created label","0"
"0","API Tests","0","Cards Validation","1","0","Verify field on a cards","0"
