"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","get specified field from a board","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:03 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetAFieldOnABord"
"","118","Get all existed lists from a bord","All test","Thu Apr 03 18:46:04 GMT 2025","passed","Thu Apr 03 18:46:04 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetListsOfABoard"
"","107","Get members of a bord","All test","Thu Apr 03 18:46:04 GMT 2025","passed","Thu Apr 03 18:46:04 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetTheMembersOfABoard"
"","94","Get all existed custom fields from a bord","All test","Thu Apr 03 18:46:04 GMT 2025","passed","Thu Apr 03 18:46:04 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetCustomFieldsForABoard"
"Create a new Label on a Board","185","testCreateLabel","All test","Thu Apr 03 18:45:53 GMT 2025","passed","Thu Apr 03 18:45:53 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testCreateLabel"
"Remove member from board","684","testRemoveMemberFromBoard","All test","Thu Apr 03 18:46:12 GMT 2025","passed","Thu Apr 03 18:46:13 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testRemoveMemberFromBoard"
"Get Labels on a Board","99","testGetLabelsOnBoard","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:04 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetLabelsOnBoard"
"","95","Get all existed cards from a bord","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:03 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetCardsOnABoard"
"Get a field 'date' of an action","108","testGetASpecificFieldOnAnAction","All test","Thu Apr 03 18:46:00 GMT 2025","passed","Thu Apr 03 18:46:00 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testGetASpecificFieldOnAnAction"
"Unarchived a list on a board","218","testUnArchiveAList","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:03 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testUnArchiveAList"
"Update a comment of the action","703","testUpdateACommentOfTheAction","All test","Thu Apr 03 18:45:56 GMT 2025","passed","Thu Apr 03 18:45:57 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testUpdateACommentOfTheAction"
"Update field label","158","testUpdateFieldLabel","All test","Thu Apr 03 18:45:56 GMT 2025","passed","Thu Apr 03 18:45:56 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testUpdateFieldLabel"
"Get the action from a board","125","getAnAction","All test","Thu Apr 03 18:45:54 GMT 2025","passed","Thu Apr 03 18:45:54 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","getAnAction"
"","136","Get all existed filtered cards from a bord","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:03 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetFilteredCardsOnABoard"
"Get list of user","364","Create Board Validation","All test","Thu Apr 03 18:45:54 GMT 2025","passed","Thu Apr 03 18:45:55 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testCreateBoard"
"Archive a list on a board","179","testArchiveAList","All test","Thu Apr 03 18:46:00 GMT 2025","passed","Thu Apr 03 18:46:00 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testArchiveAList"
"Delete a card","792","testDeleteCard","All test","Thu Apr 03 18:46:10 GMT 2025","passed","Thu Apr 03 18:46:11 GMT 2025","api.tests.api.CardsApiTest","Tests with xml","api.tests.api.CardsApiTest","testDeleteCard"
"Get board","110","testGetBoard","All test","Thu Apr 03 18:45:57 GMT 2025","passed","Thu Apr 03 18:45:57 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetBoard"
"Create a Label on a Board","158","testCreateLabelOnBoard","All test","Thu Apr 03 18:46:03 GMT 2025","passed","Thu Apr 03 18:46:03 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testCreateLabelOnBoard"
"Get the board which refers to an action","136","testGetTheBoardForAnAction","All test","Thu Apr 03 18:46:00 GMT 2025","passed","Thu Apr 03 18:46:00 GMT 2025","api.tests.api.ActionsAPITest","Tests with xml","api.tests.api.ActionsAPITest","testGetTheBoardForAnAction"
