"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","Lists Validation","12","0","lists","0"
"0","API Tests","0","Actions Validation","13","0","Actions","0"
"0","API Tests","0","Cards Validation","4","0","Verify cards","0"
"0","API Tests","0","Cards Validation","1","0","Verify attachments on a cards","0"
"0","API Tests","0","Board Validation","20","0","Bord","0"
"2","UI Tests","0","Board Validation","0","0","Board","0"
"0","API Tests","0","Labels Validation","1","0","Verify created label","0"
"0","API Tests","0","Labels Validation","1","0","Verify update label","0"
"0","API Tests","0","Labels Validation","2","0","Verify update field label","0"
"0","API Tests","0","Labels Validation","1","0","Verify get label","0"
"0","API Tests","0","Cards Validation","1","0","Verify field on a cards","0"
"0","API Tests","0","Cards Validation","1","0","Verify actions on a cards","0"
"0","API Tests","0","Labels Validation","1","0","Verify delete label","0"
"0","UI Tests","0","Board Validation","1","0","Bord","0"
