"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","Actions Validation","11","0","Actions","0"
"0","API Tests","0","Members Validation","1","0","Verify update member","0"
"1","API Tests","0","Board Validation","14","0","Bord","0"
"0","API Tests","0","Cards Validation","1","0","Verify Checklists on a card","0"
"1","API Tests","0","Cards Validation","0","0","Verify list of a cards","0"
"0","","0","","8","0","Checklists","0"
"0","API Tests","0","Cards Validation","3","0","Verify cards","0"
"0","API Tests","0","Members Validation","1","0","Verify member custom backgrounds","0"
"0","API Tests","0","Lists Validation","8","0","lists","0"
"0","API Tests","0","Labels Validation","1","0","Verify get label","0"
"0","API Tests","0","Labels Validation","2","0","Verify update field label","0"
"0","API Tests","0","Cards Validation","1","0","Verify board on a cards","0"
"0","UI Tests","0","Board Validation","3","0","Board","0"
"0","API Tests","0","Members Validation","1","0","Verify member","0"
"0","API Tests","0","Labels Validation","1","0","Verify update label","0"
"0","API Tests","0","Cards Validation","1","0","Verify checkItems on a card","0"
"0","API Tests","0","Members Validation","1","0","Verify Update the position of a boardStar of Member","0"
"0","API Tests","0","Members Validation","1","0","Verify Get a boardStar of Member","0"
"0","API Tests","0","Labels Validation","1","0","Verify created label","0"
"0","API Tests","0","Cards Validation","1","0","Verify stickers of a cards","0"
"0","API Tests","0","Members Validation","1","0","Verify Get Boards the Member has been invited to","0"
"1","API Tests","0","Cards Validation","0","0","Verify Members of a cards","0"
"0","API Tests","0","Members Validation","1","0","Verify Delete Star for Board","0"
"0","API Tests","0","Members Validation","1","0","Verify Get Cards the Member is on","0"
"0","API Tests","0","Members Validation","1","0","Verify Create Star for Board","0"
"0","API Tests","0","Labels Validation","1","0","Verify delete label","0"
"0","API Tests","0","Members Validation","1","0","Verify actions member","0"
"0","API Tests","0","Members Validation","1","0","Verify Get Boards that Member belongs to","0"
"0","API Tests","0","Cards Validation","1","0","Cards","0"
"0","API Tests","0","Cards Validation","1","0","Verify field on a cards","0"
"0","API Tests","0","Members Validation","1","0","Verify Get a Member's boardStars","0"
