"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","Get all existed lists from a bord","All test","Fri Apr 04 10:05:54 GMT 2025","passed","Fri Apr 04 10:05:54 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetListsOfABoard"
"Delete label","251","testDeleteLabel","All test","Fri Apr 04 10:05:48 GMT 2025","passed","Fri Apr 04 10:05:49 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testDeleteLabel"
"","117","Get members of a bord","All test","Fri Apr 04 10:05:54 GMT 2025","passed","Fri Apr 04 10:05:55 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetTheMembersOfABoard"
"Get memberships on a Board","121","testGetMembershipsOnBoard","All test","Fri Apr 04 10:05:59 GMT 2025","passed","Fri Apr 04 10:05:59 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetMembershipsOnBoard"
"","101","Get all existed custom fields from a bord","All test","Fri Apr 04 10:05:55 GMT 2025","passed","Fri Apr 04 10:05:55 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testGetCustomFieldsForABoard"
"Unarchived a list on a board","232","testUnArchiveAList","All test","Fri Apr 04 10:05:53 GMT 2025","passed","Fri Apr 04 10:05:54 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testUnArchiveAList"
"Get all cards available on a list","131","testGetCardsInAList","All test","Fri Apr 04 10:05:55 GMT 2025","passed","Fri Apr 04 10:05:56 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testGetCardsInAList"
"Remove member from board","754","testRemoveMemberFromBoard","All test","Fri Apr 04 10:06:04 GMT 2025","passed","Fri Apr 04 10:06:05 GMT 2025","api.tests.api.BoardApiTest","Tests with xml","api.tests.api.BoardApiTest","testRemoveMemberFromBoard"
"Update field label","185","testUpdateFieldLabel","All test","Fri Apr 04 10:05:46 GMT 2025","passed","Fri Apr 04 10:05:46 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testUpdateFieldLabel"
"Get label","134","testGetLabel","All test","Fri Apr 04 10:05:45 GMT 2025","passed","Fri Apr 04 10:05:45 GMT 2025","api.tests.api.LabelsApiTest","Tests with xml","api.tests.api.LabelsApiTest","testGetLabel"
"Create a new List on a Board","479","testArchiveAllCardsOnTheList","All test","Fri Apr 04 10:05:47 GMT 2025","passed","Fri Apr 04 10:05:47 GMT 2025","api.tests.api.ListsApiTest","Tests with xml","api.tests.api.ListsApiTest","testArchiveAllCardsOnTheList"
